player_id,name,captain_count,captain_pct
480,Nowak,363,36.3%
765,Imaz,210,21.0%
2205,Pululu,202,20.2%
2671,Czubak,110,11.0%
2423,N&#039;Diaye,43,4.3%
2411,Bobček,14,1.4%
1475,Ishak,8,0.8%
2110,Mena,6,0.6%
2234,Gholizadeh,5,0.5%
2476,Braut Brunes,5,0.5%
303,Stępiński,5,0.5%
827,Grzybek,3,0.3%
2225,Álvarez,3,0.3%
774,Bergier,3,0.3%
1540,Wojtuszek,2,0.2%
2562,Mazurek,2,0.2%
2817,Kornvig,2,0.2%
2281,Kerk,2,0.2%
2280,Ulvestad,2,0.2%
860,Długosz,2,0.2%
2708,Rajović,2,0.2%
2775,Ronaldo,1,0.1%
1363,Wdowik,1,0.1%
2424,Wolski,1,0.1%
2588,Perković,1,0.1%
1625,Rusyn,1,0.1%
1909,Adamski,1,0.1%
