player_id,name,captain_count,captain_pct
2498,Wålemark,354,35.4%
480,Nowak,210,21.0%
2917,Sayyadmanesh,105,10.5%
2939,Prelec,64,6.4%
1880,Szkurin,34,3.4%
2940,García,27,2.7%
303,Stępiński,26,2.6%
2629,Faßbender,26,2.6%
2671,Czubak,19,1.9%
2214,Kouloúris,16,1.6%
1529,Fornalczyk,13,1.3%
2717,Rodríguez,11,1.1%
765,Imaz,10,1.0%
1464,Szmyt,9,0.9%
95,Świderski,7,0.7%
2481,Hasić,7,0.7%
1327,Urbański,7,0.7%
2123,Gurgul,6,0.6%
2679,Mukairu,5,0.5%
1987,Sánchez,5,0.5%
951,Jędrych,5,0.5%
2477,Reguła,5,0.5%
1092,Samiec-Talar,4,0.4%
2431,Vinagre,4,0.4%
860,Długosz,3,0.3%
2733,Palma,3,0.3%
2225,Álvarez,3,0.3%
1507,Zjawiński,3,0.3%
2759,Markovic,2,0.2%
166,Janicki,2,0.2%
2423,N&#039;Diaye,1,0.1%
2406,Chłań,1,0.1%
1712,Pereira,1,0.1%
1725,Emreli,1,0.1%
1299,Carlos,1,0.1%
