player_id,name,captain_count,captain_pct
1475,Ishak,253,25.3%
480,Nowak,220,22.0%
765,Imaz,185,18.5%
2234,Gholizadeh,106,10.6%
2205,Pululu,99,9.9%
2671,Czubak,57,5.7%
303,Stępiński,30,3.0%
2423,N&#039;Diaye,6,0.6%
860,Długosz,6,0.6%
1363,Wdowik,5,0.5%
2747,Vallejo,4,0.4%
951,Jędrych,3,0.3%
2476,Braut Brunes,3,0.3%
2411,Bobček,3,0.3%
774,Bergier,3,0.3%
1010,Félix Garcia,2,0.2%
1757,Mrozek,2,0.2%
1573,Milić,2,0.2%
994,Klemenz,2,0.2%
1794,Grosicki,1,0.1%
2817,Kornvig,1,0.1%
2430,Nsame,1,0.1%
2552,Sotiríou,1,0.1%
2707,Pozo,1,0.1%
1712,Pereira,1,0.1%
1540,Wojtuszek,1,0.1%
2424,Wolski,1,0.1%
1539,López,1,0.1%
