player_id,name,captain_count,captain_pct
480,Nowak,327,32.7%
765,Imaz,120,12.0%
2205,Pululu,101,10.1%
2234,Gholizadeh,92,9.2%
2671,Czubak,78,7.8%
2411,Bobček,77,7.7%
1475,Ishak,44,4.4%
2110,Mena,42,4.2%
2423,N&#039;Diaye,22,2.2%
1794,Grosicki,20,2.0%
303,Stępiński,17,1.7%
2476,Braut Brunes,7,0.7%
2483,Capita,7,0.7%
2481,Hasić,5,0.5%
860,Długosz,4,0.4%
774,Bergier,4,0.4%
2775,Ronaldo,3,0.3%
2826,Szabó,3,0.3%
827,Grzybek,3,0.3%
2717,Rodríguez,3,0.3%
1521,Kapustka,2,0.2%
1225,Grzesik,2,0.2%
2679,Mukairu,2,0.2%
1782,Maurides,2,0.2%
2280,Ulvestad,1,0.1%
2629,Faßbender,1,0.1%
2389,Diaby-Fadiga,1,0.1%
1086,Zapolnik,1,0.1%
1625,Rusyn,1,0.1%
563,Wasielewski,1,0.1%
2577,Ćorluka,1,0.1%
128,Sekulski,1,0.1%
2825,Sans,1,0.1%
2462,Al-Ammari,1,0.1%
