player_id,name,captain_count,captain_pct
480,Nowak,305,30.5%
2205,Pululu,288,28.8%
765,Imaz,174,17.4%
2671,Czubak,69,6.9%
2423,N&#039;Diaye,35,3.5%
2411,Bobček,28,2.8%
2476,Braut Brunes,18,1.8%
1475,Ishak,10,1.0%
303,Stępiński,10,1.0%
2234,Gholizadeh,9,0.9%
2110,Mena,6,0.6%
860,Długosz,4,0.4%
1539,López,4,0.4%
2562,Mazurek,3,0.3%
827,Grzybek,3,0.3%
2225,Álvarez,3,0.3%
2281,Kerk,3,0.3%
1363,Wdowik,3,0.3%
774,Bergier,3,0.3%
1540,Wojtuszek,2,0.2%
2280,Ulvestad,2,0.2%
2708,Rajović,2,0.2%
1794,Grosicki,2,0.2%
2775,Ronaldo,1,0.1%
2588,Perković,1,0.1%
2753,Šutalo,1,0.1%
2424,Wolski,1,0.1%
1909,Adamski,1,0.1%
2817,Kornvig,1,0.1%
2552,Sotiríou,1,0.1%
2679,Mukairu,1,0.1%
2053,Madejski,1,0.1%
1625,Rusyn,1,0.1%
1835,Biczachczjan,1,0.1%
