player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
2431,Vinagre,2,23,23,0,76.7%,76.7%,0.0%
1987,Sánchez,4,19,19,3,63.3%,63.3%,10.0%
480,Nowak,3,19,19,7,63.3%,63.3%,23.3%
1092,Samiec-Talar,3,18,18,1,60.0%,60.0%,3.3%
2939,Prelec,4,16,16,2,53.3%,53.3%,6.7%
1327,Urbański,3,15,14,0,50.0%,46.7%,0.0%
2805,Hindrich,1,14,14,0,46.7%,46.7%,0.0%
2917,Sayyadmanesh,3,13,13,4,43.3%,43.3%,13.3%
2123,Gurgul,2,11,11,0,36.7%,36.7%,0.0%
2498,Wålemark,3,11,11,4,36.7%,36.7%,13.3%
1225,Grzesik,,11,7,0,36.7%,23.3%,0.0%
1880,Szkurin,4,11,11,4,36.7%,36.7%,13.3%
2629,Faßbender,3,10,8,0,33.3%,26.7%,0.0%
1507,Zjawiński,4,9,7,0,30.0%,23.3%,0.0%
2943,González,3,9,6,0,30.0%,20.0%,0.0%
951,Jędrych,2,8,8,0,26.7%,26.7%,0.0%
1168,Makuch,,8,3,0,26.7%,10.0%,0.0%
2481,Hasić,3,7,7,0,23.3%,23.3%,0.0%
2940,García,2,7,7,0,23.3%,23.3%,0.0%
1319,Wszołek,,7,2,0,23.3%,6.7%,0.0%
166,Janicki,2,7,6,0,23.3%,20.0%,0.0%
2671,Czubak,4,7,7,0,23.3%,23.3%,0.0%
2423,N&#039;Diaye,,6,3,0,20.0%,10.0%,0.0%
2733,Palma,3,6,4,1,20.0%,13.3%,3.3%
2104,Sáček,,5,0,0,16.7%,0.0%,0.0%
2367,Mońka,,5,4,0,16.7%,13.3%,0.0%
2577,Ćorluka,2,5,3,0,16.7%,10.0%,0.0%
2286,Cojocaru,1,4,4,0,13.3%,13.3%,0.0%
2679,Mukairu,3,4,4,0,13.3%,13.3%,0.0%
1725,Emreli,,4,2,0,13.3%,6.7%,0.0%
2560,Ciszek,,4,0,0,13.3%,0.0%,0.0%
2002,Borges,,4,2,0,13.3%,6.7%,0.0%
2829,Urbański,,4,0,0,13.3%,0.0%,0.0%
1026,Lis,1,4,4,0,13.3%,13.3%,0.0%
2881,Rodado,,4,2,0,13.3%,6.7%,0.0%
1540,Wojtuszek,,4,2,0,13.3%,6.7%,0.0%
2406,Chłań,3,3,3,0,10.0%,10.0%,0.0%
2007,Matys,,3,0,0,10.0%,0.0%,0.0%
2895,Schulze,1,3,2,0,10.0%,6.7%,0.0%
2880,Bozic,3,3,2,0,10.0%,6.7%,0.0%
1299,Carlos,,3,1,0,10.0%,3.3%,0.0%
2896,Kustra,,3,0,0,10.0%,0.0%,0.0%
1464,Szmyt,3,3,3,0,10.0%,10.0%,0.0%
2843,Żołneczko,,3,0,0,10.0%,0.0%,0.0%
2832,Grelich,,3,0,0,10.0%,0.0%,0.0%
2366,Golonka,,3,0,0,10.0%,0.0%,0.0%
184,Wolski,3,3,3,0,10.0%,10.0%,0.0%
2815,Montóia,,3,1,0,10.0%,3.3%,0.0%
765,Imaz,3,3,3,3,10.0%,10.0%,10.0%
2950,Wadas,,2,0,0,6.7%,0.0%,0.0%
303,Stępiński,4,2,2,0,6.7%,6.7%,0.0%
1455,Ławniczak,,2,0,0,6.7%,0.0%,0.0%
1400,Dziekoński,1,2,2,0,6.7%,6.7%,0.0%
2831,Maziarz,,2,0,0,6.7%,0.0%,0.0%
2850,Markiewicz,,2,0,0,6.7%,0.0%,0.0%
1490,Trelowski,,2,1,0,6.7%,3.3%,0.0%
1192,Janža,2,2,2,0,6.7%,6.7%,0.0%
2214,Kouloúris,4,2,2,0,6.7%,6.7%,0.0%
