player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,973,965,405,97.3%,96.5%,40.5%
2234,Gholizadeh,3,837,817,64,83.7%,81.7%,6.4%
2423,N&#039;Diaye,3,698,614,6,69.8%,61.4%,0.6%
951,Jędrych,2,607,539,6,60.7%,53.9%,0.6%
2671,Czubak,4,605,559,16,60.5%,55.9%,1.6%
2205,Pululu,4,598,576,60,59.8%,57.6%,6.0%
2476,Braut Brunes,4,498,492,114,49.8%,49.2%,11.4%
2780,Ćirković,3,461,447,35,46.1%,44.7%,3.5%
2560,Ciszek,,441,1,0,44.1%,0.1%,0.0%
1192,Janža,2,393,382,2,39.3%,38.2%,0.2%
860,Długosz,,353,115,0,35.3%,11.5%,0.0%
765,Imaz,3,342,337,77,34.2%,33.7%,7.7%
701,Kun,2,325,300,6,32.5%,30.0%,0.6%
2123,Gurgul,,314,226,0,31.4%,22.6%,0.0%
2598,Matysek,,284,0,0,28.4%,0.0%,0.0%
2708,Rajović,4,264,251,19,26.4%,25.1%,1.9%
1299,Carlos,,255,242,0,25.5%,24.2%,0.0%
1757,Mrozek,,250,208,1,25.0%,20.8%,0.1%
1540,Wojtuszek,,247,178,0,24.7%,17.8%,0.0%
1475,Ishak,4,226,225,39,22.6%,22.5%,3.9%
1319,Wszołek,2,195,195,17,19.5%,19.5%,1.7%
563,Wasielewski,2,195,158,0,19.5%,15.8%,0.0%
2411,Bobček,4,183,183,92,18.3%,18.3%,9.2%
2805,Hindrich,1,167,158,0,16.7%,15.8%,0.0%
827,Grzybek,,165,37,0,16.5%,3.7%,0.0%
130,Burić,,159,95,0,15.9%,9.5%,0.0%
303,Stępiński,,158,82,1,15.8%,8.2%,0.1%
2562,Mazurek,,152,53,0,15.2%,5.3%,0.0%
1010,Félix Garcia,,150,79,0,15.0%,7.9%,0.0%
1795,Abramowicz,1,149,128,0,14.9%,12.8%,0.0%
994,Klemenz,,147,119,1,14.7%,11.9%,0.1%
2287,Zych,1,134,126,0,13.4%,12.6%,0.0%
2603,Kubiak,,133,59,0,13.3%,5.9%,0.0%
2225,Álvarez,3,125,100,4,12.5%,10.0%,0.4%
774,Bergier,4,115,111,4,11.5%,11.1%,0.4%
2608,Vereshchak,,113,2,0,11.3%,0.2%,0.0%
2698,Bengtsson,3,94,71,1,9.4%,7.1%,0.1%
1363,Wdowik,,94,57,0,9.4%,5.7%,0.0%
2367,Mońka,,93,57,0,9.3%,5.7%,0.0%
992,Wiśniewski,2,91,82,0,9.1%,8.2%,0.0%
2281,Kerk,3,80,67,0,8.0%,6.7%,0.0%
2623,Topór,,79,0,0,7.9%,0.0%,0.0%
2801,Drągowski,1,76,67,0,7.6%,6.7%,0.0%
2779,Jurić,,71,50,1,7.1%,5.0%,0.1%
1928,Svarnas,2,69,62,0,6.9%,6.2%,0.0%
1280,Michalski,,64,23,0,6.4%,2.3%,0.0%
1909,Adamski,,62,54,1,6.2%,5.4%,0.1%
1435,Strączek,,61,37,0,6.1%,3.7%,0.0%
2450,Brkić,,60,45,0,6.0%,4.5%,0.0%
2727,Ława,,57,4,0,5.7%,0.4%,0.0%
2659,Łubik,,56,43,0,5.6%,4.3%,0.0%
2110,Mena,3,56,52,2,5.6%,5.2%,0.2%
2406,Chłań,3,55,52,4,5.5%,5.2%,0.4%
1853,Racovițan,2,51,47,0,5.1%,4.7%,0.0%
2424,Wolski,3,50,40,0,5.0%,4.0%,0.0%
2759,Markovic,3,49,49,4,4.9%,4.9%,0.4%
2477,Reguła,,46,27,0,4.6%,2.7%,0.0%
2829,Urbański,,45,0,0,4.5%,0.0%,0.0%
1712,Pereira,,44,33,1,4.4%,3.3%,0.1%
2643,Zając,,43,0,0,4.3%,0.0%,0.0%
2794,Sadílek,3,42,40,2,4.2%,4.0%,0.2%
2191,Pankov,,42,40,1,4.2%,4.0%,0.1%
2481,Hasić,,41,25,1,4.1%,2.5%,0.1%
1097,Krzepisz,,41,0,0,4.1%,0.0%,0.0%
2530,Lewandowski,,41,0,0,4.1%,0.0%,0.0%
2561,Mikielewicz,,40,1,0,4.0%,0.1%,0.0%
2717,Rodríguez,3,38,28,0,3.8%,2.8%,0.0%
2827,Ligocki,,37,0,0,3.7%,0.0%,0.0%
2790,Kaczorowski,,37,0,0,3.7%,0.0%,0.0%
2366,Golonka,,36,0,0,3.6%,0.0%,0.0%
2817,Kornvig,,35,25,0,3.5%,2.5%,0.0%
2696,Głowiński,,34,0,0,3.4%,0.0%,0.0%
2733,Palma,3,33,32,3,3.3%,3.2%,0.3%
1573,Milić,,32,10,0,3.2%,1.0%,0.0%
1001,Szymański,,32,6,0,3.2%,0.6%,0.0%
2444,Krajewski,,31,12,0,3.1%,1.2%,0.0%
2706,Kukulski,,31,0,0,3.1%,0.0%,0.0%
2053,Madejski,1,30,16,0,3.0%,1.6%,0.0%
184,Wolski,3,30,25,0,3.0%,2.5%,0.0%
2756,Paulsen,,29,21,0,2.9%,2.1%,0.0%
2600,Szafrański,,29,0,0,2.9%,0.0%,0.0%
2747,Vallejo,,28,11,0,2.8%,1.1%,0.0%
166,Janicki,2,28,27,0,2.8%,2.7%,0.0%
1880,Szkurin,4,27,24,2,2.7%,2.4%,0.2%
632,Nowak,3,27,22,1,2.7%,2.2%,0.1%
2832,Grelich,,27,0,0,2.7%,0.0%,0.0%
2705,Pruszkowski,,26,0,0,2.6%,0.0%,0.0%
2577,Ćorluka,,26,8,0,2.6%,0.8%,0.0%
2250,Rychta,,26,0,0,2.6%,0.0%,0.0%
1126,Piątkowski,2,26,24,0,2.6%,2.4%,0.0%
2789,Kokosiński,,25,1,0,2.5%,0.1%,0.0%
1931,Kapuadi,2,24,22,0,2.4%,2.2%,0.0%
2764,Sinkiewicz,,21,0,0,2.1%,0.0%,0.0%
2736,Popielec,,19,0,0,1.9%,0.0%,0.0%
2286,Cojocaru,1,19,14,0,1.9%,1.4%,0.0%
2408,Kapić,3,19,18,0,1.9%,1.8%,0.0%
2751,Stanowski,,19,0,0,1.9%,0.0%,0.0%
2514,Jesionowski,,19,0,0,1.9%,0.0%,0.0%
2741,Peškovič,,19,0,0,1.9%,0.0%,0.0%
2417,Luberecki,,18,6,0,1.8%,0.6%,0.0%
1400,Dziekoński,1,18,13,0,1.8%,1.3%,0.0%
2468,Harciński,,17,0,0,1.7%,0.0%,0.0%
415,Marcjanik,,16,9,0,1.6%,0.9%,0.0%
633,Wdowiak,,16,7,0,1.6%,0.7%,0.0%
2775,Ronaldo,,15,5,0,1.5%,0.5%,0.0%
2750,Jakubowski,,15,0,0,1.5%,0.0%,0.0%
2679,Mukairu,3,15,11,0,1.5%,1.1%,0.0%
2701,Plichta,,15,0,0,1.5%,0.0%,0.0%
346,Gutkovskis,,14,10,0,1.4%,1.0%,0.0%
2524,Gryzio,,14,0,0,1.4%,0.0%,0.0%
2850,Markiewicz,,14,0,0,1.4%,0.0%,0.0%
2754,Klat,,14,0,0,1.4%,0.0%,0.0%
2293,Turek,,14,0,0,1.4%,0.0%,0.0%
2211,Elitim,,14,13,1,1.4%,1.3%,0.1%
1345,Kocyła,2,13,6,0,1.3%,0.6%,0.0%
2637,Kamiński,2,13,11,0,1.3%,1.1%,0.0%
1407,Seweryś,,13,0,0,1.3%,0.0%,0.0%
2669,Vojtko,2,13,12,0,1.3%,1.2%,0.0%
923,Augustyniak,3,12,12,0,1.2%,1.2%,0.0%
2786,Bałabuch,,12,0,0,1.2%,0.0%,0.0%
2781,Rogelj,2,12,10,0,1.2%,1.0%,0.0%
1225,Grzesik,2,12,10,1,1.2%,1.0%,0.1%
2752,Rubežić,2,11,4,0,1.1%,0.4%,0.0%
1539,López,3,11,5,0,1.1%,0.5%,0.0%
1675,Majchrowicz,1,11,9,0,1.1%,0.9%,0.0%
2163,Pięczek,,11,5,0,1.1%,0.5%,0.0%
1632,Kozubal,3,10,9,0,1.0%,0.9%,0.0%
