player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url
480,Bartosz Nowak,GKS Katowice,Pomocnik,31,2.5,12.4,64%,https://fantasy.ekstraklasa.org/player/480
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,31,2.3,13.48,27%,https://fantasy.ekstraklasa.org/player/2234
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,27,2.5,10.8,54%,https://fantasy.ekstraklasa.org/player/2205
1757,Bartosz Mrozek,Lech Poznań,Bramkarz,26,2.1,12.38,18%,https://fantasy.ekstraklasa.org/player/1757
2110,Camilo Mena,Lechia Gdańsk,Pomocnik,25,2.3,10.87,42%,https://fantasy.ekstraklasa.org/player/2110
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,25,1.8,13.89,20%,https://fantasy.ekstraklasa.org/player/2423
303,Mariusz Stępiński,Korona Kielce,Napastnik,22,2.2,10.0,43%,https://fantasy.ekstraklasa.org/player/303
994,Lukas Klemenz,GKS Katowice,Obrońca,22,1.9,11.58,10%,https://fantasy.ekstraklasa.org/player/994
790,František Plach,Piast Gliwice,Bramkarz,21,2.0,10.5,15%,https://fantasy.ekstraklasa.org/player/790
860,Wiktor Długosz,Korona Kielce,Obrońca,21,1.8,11.67,17%,https://fantasy.ekstraklasa.org/player/860
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,21,1.9,11.05,25%,https://fantasy.ekstraklasa.org/player/951
2053,Sebastian Madejski,Cracovia,Bramkarz,21,1.9,11.05,3%,https://fantasy.ekstraklasa.org/player/2053
2123,Michał Gurgul,Lech Poznań,Obrońca,21,1.8,11.67,15%,https://fantasy.ekstraklasa.org/player/2123
1010,Jorge Félix Garcia,Piast Gliwice,Pomocnik,20,1.8,11.11,8%,https://fantasy.ekstraklasa.org/player/1010
2280,Fredrik Ulvestad,Pogoń Szczecin,Pomocnik,20,2.1,9.52,3%,https://fantasy.ekstraklasa.org/player/2280
2698,Leo Bengtsson,Lech Poznań,Pomocnik,20,2.1,9.52,3%,https://fantasy.ekstraklasa.org/player/2698
2717,Pablo Rodríguez,Lech Poznań,Pomocnik,20,1.9,10.53,5%,https://fantasy.ekstraklasa.org/player/2717
765,Jesús Imaz,Jagiellonia Białystok,Pomocnik,19,4.2,4.52,23%,https://fantasy.ekstraklasa.org/player/765
2287,Oliwier Zych,Raków Częstochowa,Bramkarz,19,1.8,10.56,5%,https://fantasy.ekstraklasa.org/player/2287
2424,Bartosz Wolski,Motor Lublin,Pomocnik,19,1.9,10.0,2%,https://fantasy.ekstraklasa.org/player/2424
2775,Fábio Ronaldo,Motor Lublin,Pomocnik,19,1.9,10.0,2%,https://fantasy.ekstraklasa.org/player/2775
138,Robert Gumny,Lech Poznań,Obrońca,18,1.8,10.0,4%,https://fantasy.ekstraklasa.org/player/138
632,Wiktor Nowak,Wisła Płock,Pomocnik,18,1.7,10.59,4%,https://fantasy.ekstraklasa.org/player/632
1540,Norbert Wojtuszek,Jagiellonia Białystok,Obrońca,18,1.8,10.0,31%,https://fantasy.ekstraklasa.org/player/1540
2367,Wojciech Mońka,Lech Poznań,Obrońca,18,1.7,10.59,6%,https://fantasy.ekstraklasa.org/player/2367
2679,Paul Mukairu,Pogoń Szczecin,Pomocnik,18,2.0,9.0,2%,https://fantasy.ekstraklasa.org/player/2679
2719,Leandro Sanca,Piast Gliwice,Pomocnik,18,1.8,10.0,1%,https://fantasy.ekstraklasa.org/player/2719
2747,Hugo Vallejo,Piast Gliwice,Pomocnik,18,1.7,10.59,1%,https://fantasy.ekstraklasa.org/player/2747
1400,Xavier Dziekoński,Korona Kielce,Bramkarz,17,2.0,8.5,8%,https://fantasy.ekstraklasa.org/player/1400
1853,Bogdan Racovițan,Raków Częstochowa,Obrońca,17,2.0,8.5,3%,https://fantasy.ekstraklasa.org/player/1853
2281,Sebastian Kerk,Arka Gdynia,Pomocnik,17,2.0,8.5,2%,https://fantasy.ekstraklasa.org/player/2281
2286,Valentin Cojocaru,Pogoń Szczecin,Bramkarz,17,1.8,9.44,4%,https://fantasy.ekstraklasa.org/player/2286
2481,Ajdin Hasić,Cracovia,Pomocnik,17,2.1,8.1,7%,https://fantasy.ekstraklasa.org/player/2481
